"Date","Total","Died","Estimated Recovered *","Estimated Active"
2020-08-12,45436,376,35776,9284
2020-08-13,45992,377,36643,8972
2020-08-14,46350,381,37307,8662
2020-08-15,46689,388,37662,8639
2020-08-16,46928,390,38095,8443
2020-08-17,47190,391,38516,8283
2020-08-18,47554,393,38850,8311
2020-08-19,48013,395,39341,8277
2020-08-20,48496,397,39847,8252
2020-08-21,48871,404,40333,8134
2020-08-22,49169,406,40812,7951
2020-08-23,49418,409,41147,7862
2020-08-24,49818,411,41514,7893
2020-08-25,50229,413,41920,7896
2020-08-26,50617,413,42492,7712
2020-08-27,51009,415,42943,7651
2020-08-28,51481,415,43325,7741
2020-08-29,51943,416,43705,7822
2020-08-30,52199,417,43974,7808
2020-08-31,52488,418,44322,7748
2020-09-01,52910,422,44643,7845
2020-09-02,53423,424,44977,8022
2020-09-03,53927,429,45533,7965
2020-09-04,54374,434,45888,8052
2020-09-05,54773,435,46225,8113
2020-09-06,55104,439,46460,8205
2020-09-07,55418,440,46719,8259
2020-09-08,55724,442,47080,8202
2020-09-09,56105,442,47538,8125
2020-09-10,56768,444,48020,8304
2020-09-11,57354,445,48395,8514
2020-09-12,57998,447,48691,8860
2020-09-13,58549,448,48940,9161
2020-09-14,59125,449,49338,9338
2020-09-15,59868,449,49743,9676
2020-09-16,60781,450,50129,10202
2020-09-17,61888,451,50516,10921
2020-09-18,62967,453,50987,11527
2020-09-19,63878,454,51448,11976
2020-09-20,64513,455,51702,12356
2020-09-21,65139,456,51989,12694
2020-09-22,66026,457,52407,13162
2020-09-23,67243,461,52918,13864
2020-09-24,68661,464,53420,14777
2020-09-25,69684,468,53865,15351
2020-09-26,70746,473,54263,16010
2020-09-27,71616,474,54592,16550
2020-09-28,72277,477,54904,16896
2020-09-29,73197,479,55209,17509
2020-09-30,74190,484,55587,18119
2020-10-01,75299,489,56245,18565
2020-10-02,76390,490,56829,19071
2020-10-03,77763,496,57469,19798
2020-10-04,78835,501,58017,20317
2020-10-05,79565,503,58591,20471
2020-10-06,80546,513,59330,20703
2020-10-07,82038,520,60239,21279
2020-10-08,83394,525,61343,21526
2020-10-09,84751,530,62419,21802
2020-10-10,85957,534,63327,22096
2020-10-11,86930,540,63960,22430
2020-10-12,87881,541,64584,22756
2020-10-13,89025,544,65465,23016
2020-10-14,90526,548,66677,23301
2020-10-15,92033,553,68084,23396
2020-10-16,93357,555,69100,23702
2020-10-17,94467,560,70157,23750
2020-10-18,95637,565,71025,24047
2020-10-19,96687,566,71683,24438
2020-10-20,97971,570,72598,24803
2020-10-21,99601,576,73578,25447
2020-10-22,101592,577,74681,26334
2020-10-23,103205,580,75769,26856
2020-10-24,105005,588,77138,27279
2020-10-25,106171,590,78205,27376
2020-10-26,107289,592,78933,27764
2020-10-27,108863,600,79906,28357
2020-10-28,110687,603,81395,28689
2020-10-29,113026,606,82747,29673
2020-10-30,114694,614,84099,29981
2020-10-31,116510,614,85299,30597
